"Brand","category_option","collection_available","Colour","condition","condition_option","courier_collection_allowed","cover_image","delivery_class","delivery_estimates_enabled","delivery_method","Delivery_type","description","image","images","imagestext","Location_Geo","price","quantity_available","rating","rating_option","title","type","URL_Slug","user:location","repair_images","current_supabase_images","image_status","expected_image_count","imported_image_count","notes"
"Life Fitness","","no","","Used","","","","","","","Pallet delivery","Life Fitness Treadmill with SE Console, good condition and works well. Can offer pallet delivery. ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767377787828x719859870689591600/1767377790147.webp , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767377789306x242444725762805280/1767377790148.webp","","Leeds, UK","2100","1","Full Commercial","","Life Fitness Treadmill with SE Console, good condition","Treadmills","life-fitness-treadmills-leeds","","","2","OK","2","2","2 Bubble image(s) imported"
"Life Fitness","","yes","","Used","","","","","","","Pallet delivery","No console included but good working order, local drop off or pallet delivery","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767389148185x828235817506801600/1767389149577.webp , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767389149575x477657749393365360/1767389149582.webp , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767389151789x592158012499278500/1767389149583.webp","","Leeds, UK","1200","5","Full Commercial","","Life Fitness IC7 Bike, no console","Spin Bikes","life-fitness-spin-bikes-leeds","","","3","OK","3","3","3 Bubble image(s) imported"
"Sole Fitness","","yes","","Used","","","","","","","","Used but in good condition, one button is sticking but still works","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767390226965x202204697594610120/1767390227744.jpg","","Sheffield, UK","1200","1","Home Use","","Sole F63 folding treadmill","Treadmills","sole-fitness-treadmills-sheffield","","","1","OK","1","1","1 Bubble image(s) imported"
"Powertec","","yes","","Used","","","","","","","","Comes with all attachments, has the chest press side extension with bench, will need to be dismantled","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767390517811x140940729838380240/1767390519541.jpg","","London, UK","900","1","Light Commercial","","Powertec leverage gym with bench","Plate Loaded Machine","powertec-plate-loaded-machine-london","","","1","OK","1","1","1 Bubble image(s) imported"
"BodyPower","","yes","","Used","","","","","","","","2 x 15kg plates
2 x 10kg plates
4 x 5kg plates ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767459647977x681085386663696800/1767459647606.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767459649408x531184416114017800/1767459647608.jpg","","Lincoln, UK","150","1","Full Commercial","","Bodypower cast iron weight set 70kg total","Weight Plates","bodypower-weight-plates-lincoln","","","2","OK","2","2","2 Bubble image(s) imported"
"Technogym","","yes","","Used","","","","","","","","In perfect working order.  

This is a professional spin bike, designed for a gym floor and to be robust, it’s well built and heavy in weight.  

The height and reach can be full adjusted to suit you, I’m 6ft4” with long reach and I’ve still got extra to go, if I wanted it.  

I’m selling due to a house move.  
","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767564200642x404525850514540350/1767564200084.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767564202198x739418846366316000/1767564200089.jpeg","","Longniddry EH32, UK","250","1","Full Commercial","","TechnoGym Professional Spin Bike","Spin Bikes","technogym-spin-bikes-longniddry","","","2","OK","2","2","2 Bubble image(s) imported"
"Life Fitness","","yes","","Used","","","","","","","","Excellent condition with manuals","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767610720465x965598252225413600/1767610723620.jpg","","Middlesbrough, UK","450","1","Full Commercial",""," Life Fitness IC6 Bike","Spin Bikes","life-fitness-spin-bikes-middlesbrough","","","1","OK","1","1","1 Bubble image(s) imported"
"Other","","yes","","Used","","","","","","","","Only used a hand full of times so gym is like brand new. Gym has loads of exercises which some aren’t in pictures. Unfortunately didn’t get loads of pictures before I have taken it down. I purchased this for £2,500 3 years ago","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767970330073x712107148859660400/1767970328705.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767970397225x791427354213086500/1767970398699.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767970398078x686305837824112700/1767970398701.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767970399033x268788121118488600/1767970398701.jpg","","Shrewsbury, UK","1000","1","Full Commercial","","Gymgear Multi Gym","Pin Loaded Machine","other-pin-loaded-machine-shrewsbury","","","4","OK","4","4","4 Bubble image(s) imported"
"Nautilus","","yes","","Used","","","","","","","","Nautilus nitro leg press 
Great condition 

Collection only","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767988051838x502421303613410600/1767988053606.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767988053532x564882193389596400/1767988053608.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767988054728x498153934680363400/1767988053609.jpg","","Halifax, UK","1800","1","Full Commercial",""," Nautilus nitro leg press","Pin Loaded Machine","nautilus-pin-loaded-machine-halifax","","","3","OK","3","3","3 Bubble image(s) imported"
"","","yes","","Like New","","yes","","","","","","Bought in November so basically new","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767988191417x358655898872813700/1767988192824.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767988193589x185581897479102140/1767988192827.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1767988195046x395088750340202750/1767988192828.jpg","https://equipd.co.uk/version-live/fileupload/f1776963008141x110983154858242290/4d38d61c-1566-4a4a-a1ff-381ede15b445.jpg","Rugby CV23, UK","300","1","Home Use","","Marcy HG5000 Multi Gym","Pin Loaded Machine","-pin-loaded-machine-rugby","","","3","PARTIAL","4","3","3 Bubble image(s) imported; 1 fileupload URL(s) need signed CDN access; HTTP 403 on 1 remaining CDN image(s); 1 image(s) still missing in Supabase"
"Pulse","","yes","","Used","","","","","","","","Pulse fitness U-cycle 240G
Used fitness bike that is no longer needed. Upgraded so surplus to requirement

One of the foot straps has snapped and a slight crack in screen which does not effect performance.

Refurbished prices are £795+ with cheapest working model online at £475","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1768047009012x828348399303004500/1768047008012.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1768047010050x490774899414943040/1768047008014.jpg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1768047011020x555962244254373250/1768047008015.jpg","","Workington CA14, UK","350","1","Full Commercial",""," Pulse fitness u-cycle 240G","Upright Bikes","pulse-upright-bikes-workington","","","3","OK","3","3","3 Bubble image(s) imported"
"Technogym","","yes","","Used","","","","","","","","Techno gym crossover machine with smooth cable action twin weight stacks,bench and exercise attachments currently set up in a spare bedroom ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1768650960340x581670909696744700/1768650878883.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1768651018913x363837474172223400/1768650878890.png , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1768651175092x438863486433543230/1768651097974.jpeg","","Surrey, UK","875","1","Full Commercial","","Technogym Commercial Crossover machine","Pin Loaded Machine","technogym-pin-loaded-machine-","","","2","PARTIAL","3","2","2 Bubble image(s) imported; HTTP 403 on 1 remaining CDN image(s); 1 image(s) still missing in Supabase"
"Life Fitness","","yes","","Used","","","","","","","","Commercial-grade cable machine, solid and smooth — ideal for:
 • Personal training studio
• Home gym
• Garage gym
• Functional training setup

🔹 Load stack: 47.5kg per side
🔹 Condition: Fully functional
🔹 Issue to note:
The selector pin is damaged, so the stack cannot be loaded up to the full 95kg. Currently usable up to 47.5kg.

Everything else works as it should — cables, pulleys, frame all solid.

📍 Collection only
💷 Sensible offers welcome
💬 Message me for more details or to view ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1769561636661x389603091654326700/1769561634711.jpeg , //5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1769561639756x318354123791841900/1769561634718.jpeg","","Solihull, UK","900","1","Full Commercial","","Life Fitness Dual Adjustable Pulley (DAP) machine for sale","Pin Loaded Machine","life-fitness-pin-loaded-machine-solihull","","","2","OK","2","2","2 Bubble image(s) imported"
"Life Fitness","","yes","","Used","","","","","","","","Used at our home gym but no longer needed - fully working 

Dismantle will be needed - collection only ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1769734573137x280776799395059840/1769734572308.jpeg","","Penrith, UK","250","1","Full Commercial","","Life Fitness Optima Lat Pulldown","Pin Loaded Machine","life-fitness-pin-loaded-machine-penrith","","","1","OK","1","1","1 Bubble image(s) imported"
"Life Fitness","","yes","","Used","","","","","","","","Used at our home gym but no longer needed - fully working 

Dismantle will be needed - collection only ","","//5ead97c147914e5891081ccfd2f7b613.cdn.bubble.io/f1769734667291x937831693682798000/1769734665955.jpeg","","Penrith, UK","250","1","Full Commercial","","Life Fitness Optima Chest Press","Pin Loaded Machine","life-fitness-pin-loaded-machine-penrith","","","1","OK","1","0","HTTP 403 on 1 remaining CDN image(s)"
